@relation tested-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0

@attribute Survived numeric
@attribute Pclass numeric
@attribute Sex {male,female}
@attribute Age numeric
@attribute Fare numeric
@attribute Embarked {Q,S,C}

@data
0,3,male,10,29.125,Q
1,3,female,?,15.5,Q
1,1,female,37,90,Q
1,3,female,37,7.75,Q
0,3,male,34.5,7.8292,Q
1,3,female,?,7.7792,Q
0,3,male,?,7.75,Q
1,3,female,?,7.75,Q
1,3,female,?,7.75,Q
1,3,female,17,7.7333,Q
1,3,female,?,7.75,Q
1,3,female,?,7.75,Q
0,3,male,24,7.25,Q
0,2,male,35,12.35,Q
1,3,female,?,23.25,Q
1,3,female,?,7.8792,Q
0,3,male,34.5,7.8292,Q
1,3,female,?,7.7792,Q
0,3,male,?,7.75,Q
0,3,male,?,7.75,Q
0,3,male,34.5,7.8292,Q
0,3,male,21,7.8208,Q
0,3,male,?,7.75,Q
0,2,male,35,12.35,Q
0,2,male,?,10.7083,Q
0,2,male,62,9.6875,Q
1,3,female,17,7.7333,Q
0,3,male,26,7.8792,Q
0,3,male,?,7.75,Q
0,3,male,21,7.8208,Q
1,3,female,24,7.75,Q
0,3,male,21,7.8208,Q
1,3,female,30,7.6292,Q
1,3,female,30,7.6292,Q
0,3,male,?,7.75,Q
0,3,male,26,7.8792,Q
0,3,male,?,7.75,Q
1,3,female,?,23.25,Q
1,3,female,37,7.75,Q
1,3,female,?,7.75,Q
1,3,female,18,7.8792,Q
1,3,female,?,7.75,Q
0,3,male,?,7.75,Q
1,3,female,37,7.75,Q
0,3,male,?,7.75,Q
0,3,male,?,7.75,Q
0,3,male,11.5,14.5,S
0,2,male,49,65,S
1,1,female,47,61.175,S
1,2,female,29,23,S
0,2,male,38,21,S
0,3,male,35,7.8958,S
1,2,female,30,13,S
0,3,male,36.5,17.4,S
1,2,female,29,26,S
0,3,male,?,8.05,S
0,2,male,25,10.5,S
0,3,male,?,7.8958,S
0,3,male,24,8.05,S
0,3,male,24,8.6625,S
0,2,male,30,26,S
0,3,male,?,7.8875,S
0,3,male,23,13.9,S
1,3,female,18,7.775,S
0,3,male,38.5,7.25,S
0,3,male,5,31.3875,S
0,3,male,18,7.75,S
0,3,male,?,8.7125,S
0,3,male,?,8.05,S
0,2,male,25,10.5,S
1,2,female,20,36.75,S
1,3,female,?,25.4667,S
0,3,male,?,8.05,S
0,3,male,20,7.8542,S
